Date,Open,High,Low,Close,Volume,Adj Close
2009-06-29,75.80,76.46,74.03,74.56,2249100,74.56
2009-06-26,74.72,75.99,74.43,75.67,5373400,75.67
2009-06-25,72.71,75.69,72.50,75.41,2638200,75.41
2009-06-24,72.90,74.79,72.51,72.98,2247000,72.98
2009-06-23,72.77,73.14,71.10,72.36,2140000,72.36
2009-06-22,73.58,73.62,71.48,71.92,2948400,71.92
2009-06-19,73.57,75.20,73.25,74.48,2994600,74.48
2009-06-18,73.00,73.38,71.58,73.17,2253500,73.17
2009-06-17,73.25,73.58,72.08,72.64,2185400,72.64
2009-06-16,74.07,74.89,72.93,73.32,2365500,73.32
2009-06-15,76.43,76.43,72.32,73.25,3770500,73.25
2009-06-12,75.34,77.70,75.13,77.36,2700900,77.36
2009-06-11,75.08,76.24,74.78,75.18,2278700,75.18
2009-06-10,76.69,76.69,73.86,75.35,2454200,75.35
2009-06-09,76.25,77.73,75.32,76.32,2810900,76.32
2009-06-08,75.98,77.61,75.29,76.89,1786400,76.89
2009-06-05,77.51,78.55,76.11,76.98,2493400,76.58
2009-06-04,75.69,77.58,74.73,77.02,2546000,76.62
2009-06-03,76.60,76.73,74.15,75.37,2481100,74.98
2009-06-02,76.23,78.18,75.50,77.04,3360300,76.64
2009-06-01,73.39,77.00,72.56,76.15,4959800,75.75
2009-05-29,69.82,72.58,69.32,72.44,3847900,72.06
2009-05-28,68.71,69.47,67.17,69.16,1656200,68.80
2009-05-27,70.87,70.99,68.04,68.45,2297400,68.09
2009-05-26,68.47,71.47,67.09,70.80,2398300,70.43
2009-05-22,67.78,68.92,67.23,68.17,1793800,67.82
2009-05-21,68.70,68.70,66.65,67.50,3347400,67.15
2009-05-20,68.95,71.83,68.95,69.58,2106900,69.22
2009-05-19,69.11,70.00,68.24,68.31,2068100,67.96
2009-05-18,68.50,69.05,67.05,68.87,2363300,68.51
2009-05-15,65.68,67.42,65.54,67.14,3019500,66.79
2009-05-14,65.72,67.80,65.44,65.51,2816300,65.17
2009-05-13,68.46,68.46,65.82,66.28,3595200,65.94
2009-05-12,70.77,71.17,68.40,69.49,2812900,69.13
2009-05-11,72.00,72.23,69.88,70.29,2454600,69.92
2009-05-08,72.00,73.75,71.59,72.76,3371000,72.38
2009-05-07,73.31,74.00,70.90,71.53,2704200,71.16
2009-05-06,72.27,73.47,70.89,72.90,2925500,72.52
2009-05-05,72.12,72.95,70.16,71.52,2528000,71.15
2009-05-04,69.06,72.75,68.59,72.30,4252000,71.92
2009-05-01,67.97,69.62,66.29,68.06,2883600,67.71
2009-04-30,68.00,69.10,66.92,67.48,2310400,67.13
2009-04-29,65.34,68.07,64.88,67.45,3678000,67.10
2009-04-28,64.38,65.99,63.35,64.76,3287500,64.42
2009-04-27,65.21,66.32,64.20,64.97,3059500,64.63
2009-04-24,69.22,69.32,66.42,67.14,3191000,66.79
2009-04-23,66.74,68.20,66.27,67.85,2854200,67.50
2009-04-22,65.58,68.20,64.75,66.43,3988500,66.08
2009-04-21,64.71,67.19,63.91,66.87,3024800,66.52
2009-04-20,67.32,67.65,64.71,64.95,2671900,64.61
2009-04-17,66.64,69.44,65.93,68.17,3326100,67.82
2009-04-16,66.83,67.44,65.33,66.59,2950400,66.24
2009-04-15,67.94,68.68,65.47,66.32,3823000,65.98
2009-04-14,65.90,66.98,64.71,66.45,3225700,66.10
2009-04-13,65.78,67.08,64.11,66.37,2682700,66.03
2009-04-09,64.78,66.78,64.78,66.16,3065200,65.82
2009-04-08,63.02,64.89,62.34,63.89,3103500,63.56
2009-04-07,63.23,64.41,61.50,62.89,3101200,62.56
2009-04-06,66.04,66.11,62.91,64.04,4049500,63.71
2009-04-03,65.47,66.83,65.09,66.52,3512100,66.17
2009-04-02,62.40,66.93,62.40,65.63,5884700,65.29
2009-04-01,59.51,61.93,59.06,61.20,3797800,60.88
2009-03-31,61.63,61.90,59.38,60.15,4539600,59.84
2009-03-30,60.99,61.43,59.74,61.01,4891600,60.69
2009-03-27,62.97,63.36,61.75,61.97,3702300,61.65
2009-03-26,59.26,63.49,59.00,63.34,5583100,63.01
2009-03-25,59.80,60.85,56.57,58.25,3066600,57.95
2009-03-24,59.77,61.12,58.06,59.68,3118600,59.37
2009-03-23,56.34,59.81,56.18,59.81,3165400,59.50
2009-03-20,55.89,57.64,54.74,55.06,3473800,54.77
2009-03-19,57.54,58.50,56.50,56.73,2199400,56.44
2009-03-18,57.69,58.09,55.10,57.07,3909600,56.77
2009-03-17,57.07,57.92,56.00,57.92,2259300,57.62
2009-03-16,56.35,59.25,56.10,57.11,3891100,56.81
2009-03-13,56.18,57.07,54.58,55.41,2490900,55.12
2009-03-12,54.37,56.64,53.05,55.97,3999300,55.68
2009-03-11,55.34,55.77,53.62,54.35,3370900,54.07
2009-03-10,52.05,54.98,51.76,54.87,3945900,54.58
2009-03-09,52.83,53.84,50.86,51.20,4377500,50.93
2009-03-06,53.67,55.38,52.13,53.46,3945400,52.78
2009-03-05,55.62,56.02,52.61,53.23,5134600,52.56
2009-03-04,55.65,57.82,54.90,56.85,3573100,56.13
2009-03-03,55.37,55.90,54.27,54.77,3263300,54.08
2009-03-02,57.85,57.85,54.50,54.86,5313600,54.17
2009-02-27,58.79,60.49,57.81,58.77,4743700,58.03
