Date,Open,High,Low,Close,Volume,Adj Close
2009-06-29,40.22,40.62,39.76,40.25,449300,40.25
2009-06-26,40.46,40.89,39.64,40.06,758500,40.06
2009-06-25,37.80,40.77,37.72,40.54,1051300,40.54
2009-06-24,38.23,39.24,37.99,38.20,622600,38.20
2009-06-23,38.05,38.44,37.27,38.00,549000,37.78
2009-06-22,38.64,39.12,37.50,37.95,762200,37.74
2009-06-19,39.19,39.82,39.05,39.49,610300,39.27
2009-06-18,38.41,39.12,37.56,38.79,764000,38.57
2009-06-17,38.99,38.99,37.83,38.48,647800,38.26
2009-06-16,40.32,40.65,39.11,39.14,683400,38.92
2009-06-15,41.70,41.70,39.52,39.77,1035400,39.54
2009-06-12,40.55,42.44,40.48,42.32,1475100,42.08
2009-06-11,42.47,42.61,41.10,41.19,1585800,40.96
2009-06-10,43.52,43.66,41.59,42.28,769400,42.04
2009-06-09,43.21,43.80,42.70,43.10,454400,42.86
2009-06-08,42.09,43.44,41.56,42.97,637000,42.73
2009-06-05,42.12,42.43,41.20,42.19,839700,41.95
2009-06-04,40.78,42.14,40.52,41.56,906300,41.32
2009-06-03,41.85,41.96,40.18,40.74,906600,40.51
2009-06-02,42.79,43.91,42.29,42.70,931300,42.46
2009-06-01,41.50,43.27,41.14,42.57,966900,42.33
2009-05-29,39.25,41.13,39.13,40.94,950400,40.71
2009-05-28,38.22,38.92,37.66,38.72,672600,38.50
2009-05-27,39.22,39.42,37.71,37.86,620300,37.65
2009-05-26,37.17,39.33,37.17,39.03,833200,38.81
2009-05-22,37.74,38.10,37.31,37.63,560400,37.42
2009-05-21,37.67,37.70,36.72,37.49,1143800,37.28
2009-05-20,37.02,39.61,37.02,38.63,1494900,38.41
2009-05-19,36.68,37.57,36.62,36.83,856200,36.62
2009-05-18,35.17,37.00,35.12,36.76,779100,36.55
2009-05-15,34.51,36.04,34.50,34.99,975000,34.79
2009-05-14,34.77,35.52,34.10,34.82,944900,34.62
2009-05-13,35.71,35.79,34.52,34.52,1691900,34.32
2009-05-12,36.97,37.23,36.08,36.67,1364800,36.46
2009-05-11,38.00,38.23,36.88,36.97,1219500,36.76
2009-05-08,38.25,39.07,37.73,39.01,1260200,38.79
2009-05-07,39.24,39.39,37.07,37.53,1200100,37.32
2009-05-06,38.92,39.17,38.36,39.03,993500,38.81
2009-05-05,39.42,39.81,38.26,38.48,1487700,38.26
2009-05-04,37.74,39.61,37.45,39.32,1022700,39.10
2009-05-01,35.95,37.89,35.47,37.47,1371500,37.26
2009-04-30,36.02,37.29,35.80,35.86,963900,35.66
2009-04-29,34.83,35.81,34.79,35.37,1145700,35.17
2009-04-28,33.84,34.86,33.54,34.37,984800,34.18
2009-04-27,34.13,35.27,34.02,34.46,1497600,34.27
2009-04-24,34.82,35.49,34.43,35.20,1267500,35.00
2009-04-23,33.63,34.67,32.32,34.46,1163100,34.27
2009-04-22,32.86,34.79,32.86,33.08,1273900,32.89
2009-04-21,31.76,34.03,31.76,33.67,1061300,33.48
2009-04-20,33.79,33.84,31.98,32.50,948100,32.32
2009-04-17,32.19,35.04,32.19,34.58,1111600,34.38
2009-04-16,32.88,32.90,32.05,32.53,855600,32.35
2009-04-15,32.10,32.59,31.42,32.50,548600,32.32
2009-04-14,32.08,32.36,31.28,31.79,505300,31.61
2009-04-13,31.75,32.33,31.37,32.11,466500,31.93
2009-04-09,31.60,32.24,31.51,32.10,642300,31.92
2009-04-08,30.36,30.86,30.05,30.64,800800,30.47
2009-04-07,30.71,30.71,29.90,29.99,655200,29.82
2009-04-06,31.57,31.69,30.39,31.23,597100,31.05
2009-04-03,31.27,32.28,31.15,31.96,835100,31.78
2009-04-02,30.78,31.85,30.53,31.37,1764600,31.19
2009-04-01,29.28,29.90,29.07,29.59,1075000,29.42
2009-03-31,29.74,30.12,29.57,29.63,883500,29.46
2009-03-30,30.89,31.07,29.16,29.63,922600,29.46
2009-03-27,32.09,32.61,31.53,32.22,1454600,32.04
2009-03-26,31.75,33.10,31.44,32.80,1088700,32.61
2009-03-25,31.96,32.68,30.29,31.13,833600,30.95
2009-03-24,31.88,32.51,31.20,31.94,915900,31.56
2009-03-23,30.49,32.33,30.49,32.31,839800,31.92
2009-03-20,30.64,30.91,29.28,29.75,816300,29.39
2009-03-19,31.38,31.75,30.37,30.50,1385900,30.14
2009-03-18,30.51,31.11,29.21,30.59,1364600,30.22
2009-03-17,30.32,30.69,29.35,30.69,1046300,30.32
2009-03-16,29.37,31.12,29.35,30.09,1161000,29.73
2009-03-13,29.61,29.85,28.69,28.97,999900,28.62
2009-03-12,27.93,29.46,27.43,29.31,1204500,28.96
2009-03-11,28.22,28.45,27.58,27.93,1297800,27.60
2009-03-10,25.91,28.18,25.91,27.95,1479400,27.62
2009-03-09,25.30,26.35,25.14,25.53,1192600,25.23
2009-03-06,25.90,26.59,25.21,25.87,1026500,25.56
2009-03-05,26.93,27.37,25.11,25.80,1235000,25.49
2009-03-04,27.12,28.00,26.71,27.67,1100900,27.34
2009-03-03,26.66,27.10,25.85,26.47,960300,26.15
2009-03-02,27.76,27.97,26.28,26.56,1217600,26.24
2009-02-27,27.90,28.84,27.77,28.21,1525000,27.87
2009-02-26,29.00,29.39,28.62,28.87,1003700,28.53
2009-02-25,28.63,29.32,27.79,28.72,1549200,28.38
2009-02-24,27.55,29.19,27.35,28.84,909600,28.50
2009-02-23,28.47,28.96,27.02,27.15,1290500,26.83
2009-02-20,27.26,28.85,27.26,28.35,1230600,28.01
2009-02-19,28.49,28.86,27.99,28.14,1100600,27.80
2009-02-18,29.08,29.18,28.19,28.74,1010100,28.40
2009-02-17,29.54,29.66,28.54,28.78,1439700,28.44
2009-02-13,30.51,31.07,30.24,30.61,1192600,30.24
2009-02-12,30.24,30.61,29.31,30.40,1527600,30.04
2009-02-11,30.50,30.86,30.07,30.49,1934900,30.13
2009-02-10,32.20,32.77,30.34,30.80,2314600,30.43
2009-02-09,32.95,33.07,31.86,32.97,1486100,32.58
2009-02-06,31.46,33.19,31.28,32.55,1664100,32.16
2009-02-05,30.76,32.02,30.59,31.79,1448900,31.41
2009-02-04,31.00,31.81,30.76,30.98,953100,30.61
2009-02-03,30.21,31.01,29.88,30.89,1059000,30.52
2009-02-02,29.92,30.45,29.40,30.04,1248000,29.68
2009-01-30,30.84,30.94,29.55,30.26,2287800,29.90
2009-01-29,31.71,31.91,30.60,30.80,1465300,30.43
2009-01-28,31.78,32.62,31.18,31.78,3899900,31.40
2009-01-27,31.26,33.37,30.75,32.81,1416200,32.42
2009-01-26,31.06,31.82,30.15,30.57,1237600,30.20
2009-01-23,29.59,30.75,28.96,30.36,1281200,30.00
2009-01-22,29.32,30.48,28.87,29.93,1108700,29.57
2009-01-21,28.99,30.13,28.38,30.11,895400,29.75
2009-01-20,31.40,31.40,28.14,28.18,1530900,27.84
2009-01-16,32.65,32.74,30.48,31.14,668500,30.77
2009-01-15,31.12,31.68,29.72,31.44,1200200,31.06
2009-01-14,32.51,32.51,30.74,30.97,945000,30.60
2009-01-13,34.31,35.07,32.29,33.01,1337000,32.62
2009-01-12,34.93,35.11,33.95,34.61,1243800,34.20
2009-01-09,36.91,37.21,35.21,35.40,809200,34.98
2009-01-08,36.55,37.19,36.19,36.84,806700,36.40
2009-01-07,38.43,38.71,36.66,37.12,732100,36.68
2009-01-06,37.46,39.00,37.33,38.93,1052500,38.46
2009-01-05,34.77,37.65,34.36,36.89,1132400,36.45
2009-01-02,33.81,34.65,33.48,34.35,771800,33.94
2008-12-31,32.91,33.91,32.91,33.62,658700,33.22
2008-12-30,32.18,33.24,31.83,33.23,533800,32.83
