930830	1000.00	1000.00
930831	1000.00	1000.00
930902	1001.40	1000.00	AZA	CN	DRXR	FRAM	VLSI	INMT	GENZ	ASPX	IFMX	CSIM
930903	1000.92	1020.40	TAN	VTSS	BIRD	TDM	ADBE	EMP	TUG	TE	AMH	OREM
930907	991.01	1005.39	CAVR	DATX	ELY	DGN	CHPS	SIGM	N	SPCO	JNJ	F
930908	979.18	978.38	CN	DEBS	FHPC	REC	ADPT	XICO	CNX	KLAC	SYMC	ROC
930909	990.03	989.25	CAVR	XIRC	SNPS	IBAN	MA	HOGN	ASTA	USS	HOV	AMGN
930910	1000.41	988.83	CN	DEBS	IFMX	BIRD	XICO	TLAB	ITA	CR	MCU	AAPL
930913	1000.15	966.93	CSIM	LADF	MNTR	ELY	ELCN	RHR	AMGN	DRXR	SHRP	VLSI
930915	996.58	955.59	CN	SHRP	XICO	INAI	DRXR	CPQ	SYMC	DEC	HOGN	BROD
930920	991.21	968.28	INAI	SHRP	GEN	DEBS	DRXR	SQNT	RHR	VTSS	CNX	WWTK
930921	982.42	962.65	INAI	SHRP	DRXR	VTSS	BROD	RNBO	XIRC	MNTR	VLSI	AALR
930922	998.41	987.69	INAI	XICO	SHRP	DRXR	VTSS	DMIC	AALR	BROD	SIGM	SQNT
930923	1007.41	1016.40	INAI	SHRP	DRXR	VTSS	DMIC	SIGM	VLSI	BROD	CAVR	FRAM
930924	1009.33	1048.51	INAI	SHRP	DRXR	VTSS	DMIC	CAVR	SIGM	BROD	VLSI	DATX
930927	1016.52	1061.64	INAI	SHRP	DRXR	VTSS	XICO	CAVR	DMIC	SIGM	DATX	VLSI
930928	1020.68	1151.64	SHRP	INAI	DRXR	VTSS	CAVR	SIGM	DMIC	DATX	VLSI	BROD
930930	1018.22	1150.11	INAI	SHRP	DRXR	VTSS	CAVR	SIGM	DMIC	DATX	VLSI	BROD
931001	1021.96	1153.06	INAI	DRXR	VTSS	CAVR	XICO	SIGM	DMIC	DATX	BROD	VLSI
931004	1022.75	1154.93	INAI	DRXR	VTSS	CAVR	SIGM	DMIC	DATX	MLT	VLSI	BROD
931011	1023.68	1210.77	INAI	DRXR	VTSS	BROD	CAVR	SIGM	DATX	DMIC	AMH	VLSI
931012	1032.31	1243.63	INAI	DRXR	CAVR	VTSS	BROD	SIGM	DATX	VLSI	DMIC	AMH
